entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,trade_direction,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.3,1.0,2.5,12,48,2,0.6,0.53,short_only,0.1,0.03,0.6579750523643555,0.6079750523643555,0.1312165997145256,-0.08386983223177633,0.4222222222222222,45,0,45,1.0
0.3,1.0,2.5,12,48,2,0.63,0.53,short_only,0.13,0.03,0.6579750523643555,0.6079750523643555,0.1312165997145256,-0.08386983223177633,0.4222222222222222,45,0,45,1.0
0.3,1.0,2.5,12,48,2,0.65,0.53,short_only,0.15,0.03,0.6579750523643555,0.6079750523643555,0.1312165997145256,-0.08386983223177633,0.4222222222222222,45,0,45,1.0
0.3,1.0,3.5,18,48,3,0.58,0.53,short_only,0.08,0.03,0.6568154271390592,0.6068154271390591,0.13599392129965548,-0.07613138303488116,0.41025641025641024,39,0,39,1.0
0.3,1.0,3.5,18,48,3,0.6,0.53,short_only,0.1,0.03,0.6568154271390592,0.6068154271390591,0.13599392129965548,-0.07613138303488116,0.41025641025641024,39,0,39,1.0
0.3,1.0,3.5,18,48,3,0.63,0.53,short_only,0.13,0.03,0.6568154271390592,0.6068154271390591,0.13599392129965548,-0.07613138303488116,0.41025641025641024,39,0,39,1.0
0.3,1.0,3.5,18,48,3,0.65,0.53,short_only,0.15,0.03,0.6568154271390592,0.6068154271390591,0.13599392129965548,-0.07613138303488116,0.41025641025641024,39,0,39,1.0
0.3,1.0,2.5,18,24,12,0.58,0.53,short_only,0.08,0.03,0.6551793062653066,0.6051793062653066,0.11940269539893267,-0.09736120410114839,0.39473684210526316,38,0,38,1.0
0.3,1.0,2.5,18,24,12,0.6,0.53,short_only,0.1,0.03,0.6551793062653066,0.6051793062653066,0.11940269539893267,-0.09736120410114839,0.39473684210526316,38,0,38,1.0
0.3,1.0,2.5,18,24,12,0.63,0.53,short_only,0.13,0.03,0.6551793062653066,0.6051793062653066,0.11940269539893267,-0.09736120410114839,0.39473684210526316,38,0,38,1.0
0.3,1.0,2.5,18,24,12,0.65,0.53,short_only,0.15,0.03,0.6551793062653066,0.6051793062653066,0.11940269539893267,-0.09736120410114839,0.39473684210526316,38,0,38,1.0
0.6,2.0,3.5,6,36,6,0.58,0.54,short_only,0.08,0.04,0.6542667465352333,0.6042667465352333,0.0786185633202805,-0.11473902143357098,0.5,20,0,20,1.0
0.6,2.0,3.5,6,36,6,0.6,0.54,short_only,0.1,0.04,0.6542667465352333,0.6042667465352333,0.0786185633202805,-0.11473902143357098,0.5,20,0,20,1.0
0.6,2.0,3.5,6,36,6,0.63,0.54,short_only,0.13,0.04,0.6542667465352333,0.6042667465352333,0.0786185633202805,-0.11473902143357098,0.5,20,0,20,1.0
0.6,2.0,3.5,6,36,6,0.65,0.54,short_only,0.15,0.04,0.6542667465352333,0.6042667465352333,0.0786185633202805,-0.11473902143357098,0.5,20,0,20,1.0
0.6,1.0,2.5,18,36,12,0.58,0.53,short_only,0.08,0.03,0.6533514553955091,0.603351455395509,0.1207086764892682,-0.0978214805809823,0.40540540540540543,37,0,37,1.0
0.6,1.0,2.5,18,36,12,0.6,0.53,short_only,0.1,0.03,0.6533514553955091,0.603351455395509,0.1207086764892682,-0.0978214805809823,0.40540540540540543,37,0,37,1.0
0.6,1.0,2.5,18,36,12,0.63,0.53,short_only,0.13,0.03,0.6533514553955091,0.603351455395509,0.1207086764892682,-0.0978214805809823,0.40540540540540543,37,0,37,1.0
0.6,1.0,2.5,18,36,12,0.65,0.53,short_only,0.15,0.03,0.6533514553955091,0.603351455395509,0.1207086764892682,-0.0978214805809823,0.40540540540540543,37,0,37,1.0
0.9,1.0,2.5,18,36,3,0.58,0.53,short_only,0.08,0.03,0.6369059664865686,0.5869059664865686,0.12366913766763532,-0.0761313830348844,0.40476190476190477,42,0,42,1.0
0.9,1.0,2.5,18,36,3,0.6,0.53,short_only,0.1,0.03,0.6369059664865686,0.5869059664865686,0.12366913766763532,-0.0761313830348844,0.40476190476190477,42,0,42,1.0
0.9,1.0,2.5,18,36,3,0.63,0.53,short_only,0.13,0.03,0.6369059664865686,0.5869059664865686,0.12366913766763532,-0.0761313830348844,0.40476190476190477,42,0,42,1.0
0.9,1.0,2.5,18,36,3,0.65,0.53,short_only,0.15,0.03,0.6369059664865686,0.5869059664865686,0.12366913766763532,-0.0761313830348844,0.40476190476190477,42,0,42,1.0
0.9,1.0,2.5,18,24,12,0.58,0.53,short_only,0.08,0.03,0.6353561432862489,0.5853561432862489,0.11457528162735175,-0.0978214805809777,0.39473684210526316,38,0,38,1.0
0.9,1.0,2.5,18,24,12,0.6,0.53,short_only,0.1,0.03,0.6353561432862489,0.5853561432862489,0.11457528162735175,-0.0978214805809777,0.39473684210526316,38,0,38,1.0
0.9,1.0,2.5,18,24,12,0.63,0.53,short_only,0.13,0.03,0.6353561432862489,0.5853561432862489,0.11457528162735175,-0.0978214805809777,0.39473684210526316,38,0,38,1.0
0.9,1.0,2.5,18,24,12,0.65,0.53,short_only,0.15,0.03,0.6353561432862489,0.5853561432862489,0.11457528162735175,-0.0978214805809777,0.39473684210526316,38,0,38,1.0
0.3,1.0,3.0,18,24,12,0.58,0.53,short_only,0.08,0.03,0.6340464325777527,0.5840464325777527,0.1153462529720215,-0.09227689807653099,0.39473684210526316,38,0,38,1.0
