long_threshold,short_threshold,neutral_max,edge_margin,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,trade_direction,ret,sharpe,sortino,maxdd,n_trades,n_long,n_short,long_ratio,short_ratio,win_rate,median_net,baseline,baseline_ret,baseline_sharpe,skill_ret_delta,skill_sharpe_delta,baseline_trades,baseline_exposure
0.42,0.5,0.4,0.03,0.0,1.0,3.0,12,48,6,both,1.0002869887990848,2.0686786562153947,1.736773397889608,-0.13444906568846926,169,128,41,0.757396449704142,0.24260355029585798,0.40828402366863903,-0.01049999999999996,always_long,1.0379022792816048,1.713587850526083,-0.03761529048251999,0.3550908056893116,268,0.7566029143897997
0.42,0.5,0.5,0.03,0.0,1.0,3.0,12,48,6,both,1.0002869887990848,2.0686786562153947,1.736773397889608,-0.13444906568846926,169,128,41,0.757396449704142,0.24260355029585798,0.40828402366863903,-0.01049999999999996,always_long,1.0379022792816048,1.713587850526083,-0.03761529048251999,0.3550908056893116,268,0.7566029143897997
0.42,0.5,0.6,0.03,0.0,1.0,3.0,12,48,6,both,1.0002869887990848,2.0686786562153947,1.736773397889608,-0.13444906568846926,169,128,41,0.757396449704142,0.24260355029585798,0.40828402366863903,-0.01049999999999996,always_long,1.0379022792816048,1.713587850526083,-0.03761529048251999,0.3550908056893116,268,0.7566029143897997
0.42,0.5,0.7,0.03,0.0,1.0,3.0,12,48,6,both,1.0002869887990848,2.0686786562153947,1.736773397889608,-0.13444906568846926,169,128,41,0.757396449704142,0.24260355029585798,0.40828402366863903,-0.01049999999999996,always_long,1.0379022792816048,1.713587850526083,-0.03761529048251999,0.3550908056893116,268,0.7566029143897997
0.46,0.5,0.4,0.1,0.0,1.0,2.5,6,24,2,both,0.6949739714574596,2.061122235333354,1.556242323869278,-0.1830959197688083,173,83,90,0.4797687861271676,0.5202312138728323,0.4508670520231214,-0.0017101182924968918,always_long,1.6527629186745663,2.561749466903944,-0.9577889472171066,-0.50062723157059,455,0.7930327868852459
0.46,0.5,0.5,0.1,0.0,1.0,2.5,6,24,2,both,0.6949739714574596,2.061122235333354,1.556242323869278,-0.1830959197688083,173,83,90,0.4797687861271676,0.5202312138728323,0.4508670520231214,-0.0017101182924968918,always_long,1.6527629186745663,2.561749466903944,-0.9577889472171066,-0.50062723157059,455,0.7930327868852459
0.46,0.5,0.6,0.1,0.0,1.0,2.5,6,24,2,both,0.6949739714574596,2.061122235333354,1.556242323869278,-0.1830959197688083,173,83,90,0.4797687861271676,0.5202312138728323,0.4508670520231214,-0.0017101182924968918,always_long,1.6527629186745663,2.561749466903944,-0.9577889472171066,-0.50062723157059,455,0.7930327868852459
0.46,0.5,0.7,0.1,0.0,1.0,2.5,6,24,2,both,0.6949739714574596,2.061122235333354,1.556242323869278,-0.1830959197688083,173,83,90,0.4797687861271676,0.5202312138728323,0.4508670520231214,-0.0017101182924968918,always_long,1.6527629186745663,2.561749466903944,-0.9577889472171066,-0.50062723157059,455,0.7930327868852459
0.38,0.46,0.4,0.03,0.0,1.0,2.5,6,48,6,both,0.8927529846133162,2.059829272635322,2.080153644624679,-0.149015793786741,233,162,71,0.6952789699570815,0.30472103004291845,0.4291845493562232,-0.01049999999999996,always_long,0.7976304844291755,1.6559624172739404,0.0951225001841407,0.40386685536138156,325,0.7046903460837887
0.38,0.46,0.5,0.03,0.0,1.0,2.5,6,48,6,both,0.8927529846133162,2.059829272635322,2.080153644624679,-0.149015793786741,233,162,71,0.6952789699570815,0.30472103004291845,0.4291845493562232,-0.01049999999999996,always_long,0.7976304844291755,1.6559624172739404,0.0951225001841407,0.40386685536138156,325,0.7046903460837887
0.38,0.46,0.6,0.03,0.0,1.0,2.5,6,48,6,both,0.8927529846133162,2.059829272635322,2.080153644624679,-0.149015793786741,233,162,71,0.6952789699570815,0.30472103004291845,0.4291845493562232,-0.01049999999999996,always_long,0.7976304844291755,1.6559624172739404,0.0951225001841407,0.40386685536138156,325,0.7046903460837887
0.38,0.46,0.7,0.03,0.0,1.0,2.5,6,48,6,both,0.8927529846133162,2.059829272635322,2.080153644624679,-0.149015793786741,233,162,71,0.6952789699570815,0.30472103004291845,0.4291845493562232,-0.01049999999999996,always_long,0.7976304844291755,1.6559624172739404,0.0951225001841407,0.40386685536138156,325,0.7046903460837887
