entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,trade_direction,long_threshold,short_threshold,ret,sharpe,sortino,maxdd,n_trades,n_long,n_short,win_rate,median_net,baseline,baseline_ret,baseline_sharpe,skill_ret_delta,skill_sharpe_delta,baseline_trades,baseline_exposure
0.6,2.0,3.0,6,24,2,short_only,0.72,0.28,-0.04984025425610661,-0.16005629130017068,-0.16444249285113685,-0.2982844236095621,255,0,255,0.4745098039215686,-0.0008396888543961215,always_short,-0.5887469500302968,-2.184759533918042,0.5389066957741901,2.0247032426178713,382,0.8262750455373407
0.3,2.0,1.5,6,24,3,long_only,0.58,0.42,0.6791473476700867,1.4944325943825394,1.4217406900743588,-0.16444460575168288,337,337,0,0.5786350148367952,0.003313808406430656,always_long,-0.17472016697299309,-0.5269896549185465,0.8538675146430798,2.021422249301086,415,0.7641165755919854
0.0,1.0,2.0,6,72,6,long_only,0.6,0.4,1.6594008909768965,3.0669412415892867,3.114655630034059,-0.15743381796743605,284,284,0,0.45422535211267606,-0.01049999999999995,always_long,0.442320101705443,1.0543561390918252,1.2170807892714535,2.0125851024974617,326,0.7037795992714025
0.0,2.5,3.0,6,24,6,long_only,0.58,0.42,1.2249384730893067,2.3440505946718972,2.325820767555268,-0.16222231826948277,270,270,0,0.5518518518518518,0.002648057260700505,always_long,0.1311267246256831,0.334516035102583,1.0938117484636236,2.0095345595693144,315,0.7137978142076503
0.0,1.5,3.0,6,24,3,long_only,0.76,0.24,1.5583536479104283,2.9265582675565414,2.741713608831748,-0.14654066932328588,247,247,0,0.5587044534412956,0.001971739142495809,always_long,0.4357447530996206,0.9246173494232743,1.1226088948108077,2.001940918133267,384,0.7817622950819673
0.6,2.5,3.0,6,24,6,long_only,0.58,0.42,0.9256355392628866,1.9531517861002112,1.9133675091441784,-0.16391354375126194,270,270,0,0.5333333333333333,0.0016216542725552474,always_long,-0.01655321477585281,-0.04645127297096837,0.9421887540387394,1.9996030590711795,315,0.7137978142076503
0.6,1.0,1.0,6,48,6,long_only,0.58,0.42,0.18244181527919534,0.5622461497113188,0.4724234969412598,-0.1793036091362446,350,350,0,0.5285714285714286,0.0041722460732901995,always_long,-0.39020856633949474,-1.4358428325077273,0.5726503816186901,1.9980889822190462,426,0.6127049180327869
0.0,1.0,1.0,6,48,2,short_only,0.72,0.28,-0.046500151645596954,-0.16345864463357554,-0.1465953478934911,-0.23816768936635102,317,0,317,0.501577287066246,0.0016523069636917532,always_short,-0.5737579321978478,-2.1580564186298568,0.5272577805522508,1.9945977739962812,546,0.7515938069216758
0.3,1.0,1.0,6,24,2,short_only,0.72,0.28,-0.1841826922099773,-0.7214235445137117,-0.6344925905297962,-0.33910969697667465,332,0,332,0.4819277108433735,-0.0012495596373341515,always_short,-0.6469101478152965,-2.7154520208408535,0.46272745560531925,1.9940284763271419,577,0.7374772313296903
0.0,2.0,1.5,12,24,6,long_only,0.58,0.42,0.438452568758136,1.0011997760751654,0.9218867327273538,-0.18921208688147306,281,281,0,0.5551601423487544,0.003373840709101272,always_long,-0.32813255522715645,-0.9885314602316078,0.7665851239852924,1.9897312363067732,333,0.6966074681238615
0.0,1.5,1.0,6,72,6,short_only,0.72,0.28,-0.11321781307909906,-0.44636900853961564,-0.3854049045200954,-0.2875712166916895,244,0,244,0.5942622950819673,0.009807500000000004,always_short,-0.5571640563603992,-2.4326597100818876,0.44394624328130017,1.986290701542272,374,0.660063752276867
0.3,2.5,3.0,6,24,3,long_only,0.6,0.4,0.9017092793129848,1.7326764886369028,1.7641954252999665,-0.19203537801486778,295,295,0,0.5254237288135594,0.0009175213844195634,always_long,-0.09568952182194024,-0.2526383799128337,0.9973988011349251,1.9853148685497366,353,0.799408014571949
0.6,2.0,1.5,6,24,3,long_only,0.58,0.42,0.568422590004533,1.3006899940540222,1.2338441476397402,-0.1751186660934367,337,337,0,0.5756676557863502,0.003207886173772979,always_long,-0.21920229677120584,-0.6835943433208952,0.7876248867757388,1.9842843373749175,415,0.7641165755919854
0.3,1.0,1.5,6,24,3,short_only,0.63,0.37,-0.2569837305575594,-0.9155685271880732,-0.8843173240598997,-0.3431779543545508,355,0,355,0.4197183098591549,-0.005602625759973737,always_short,-0.6694124251284224,-2.899625631141801,0.41242869457086295,1.9840571039537278,496,0.7180100182149363
0.6,2.0,1.5,12,48,2,long_only,0.76,0.24,0.9664151291257941,1.9094060863872848,1.7130490667318603,-0.17925733256614856,214,214,0,0.6448598130841121,0.009422843880124376,always_long,-0.027007132285178037,-0.06625690686858048,0.9934222614109721,1.9756629932558654,301,0.86316029143898
0.3,1.5,1.5,6,24,6,short_only,0.76,0.24,-0.18793678161542082,-0.7798778444096626,-0.6644330096225942,-0.3157152571126885,244,0,244,0.5081967213114754,0.000298112113792879,always_short,-0.590376099118127,-2.7549374695653093,0.40243931750270623,1.9750596251556467,375,0.6591530054644809
0.3,1.0,1.0,6,24,2,short_only,0.76,0.24,-0.18241880656699005,-0.7428312485021217,-0.6354330314181428,-0.3159692140519304,312,0,312,0.49038461538461536,-0.0012380666073632486,always_short,-0.6469101478152965,-2.7154520208408535,0.4644913412483065,1.9726207723387317,577,0.7374772313296903
0.3,2.0,2.5,6,24,2,short_only,0.63,0.37,-0.11894717924053488,-0.3662916939565001,-0.38785603795165613,-0.34328362011098723,299,0,299,0.47491638795986624,-0.0009109536532144432,always_short,-0.6153861962518927,-2.3357299711398025,0.49643901701135784,1.9694382771833023,397,0.8194444444444444
