trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
long_only,0.3,2.0,2.5,0.01,8,24,3,0.85,0.15,0.15,0.9681938644502012,0.9156342265521755,0.24563758513264888,-0.16567317076778057,0.506578947368421,152,152,0
long_only,0.6,2.0,3.0,0.01,8,24,3,0.85,0.15,0.15,0.9656156697954089,0.911440707590096,0.24672381293095058,-0.17031445927569694,0.5133333333333333,150,150,0
long_only,0.6,2.0,2.0,0.015,4,48,3,0.8,0.2,0.2,0.9629556215205388,0.8928632781302557,0.2803578948918124,-0.16543345406933038,0.5703703703703704,135,135,0
long_only,0.3,2.0,2.5,0.01,8,24,2,0.8,0.2,0.2,0.9627709091158592,0.9312927088155892,0.26535751492371906,-0.14238579386633982,0.4946236559139785,186,186,0
long_only,0.6,2.5,3.0,0.01,8,24,3,0.85,0.15,0.15,0.9526392882295387,0.8961028865339122,0.24800430593628708,-0.1779663022105094,0.5510204081632653,147,147,0
long_only,0.3,2.5,2.0,0.015,8,48,2,0.8,0.2,0.2,0.9508877882358957,0.8752580279544195,0.28965016182121106,-0.16863992511078618,0.5658914728682171,129,129,0
long_only,0.6,2.0,3.0,0.01,4,24,2,0.8,0.2,0.2,0.9452576673422399,0.9158896277171233,0.2609566631840654,-0.15329875813216542,0.48404255319148937,188,188,0
long_only,1.0,1.5,2.0,0.015,8,24,2,0.85,0.15,0.15,0.9445288061366935,0.8943054509964058,0.24452000066065005,-0.16739154289441224,0.5290322580645161,155,155,0
long_only,0.6,2.5,3.0,0.01,8,24,2,0.85,0.15,0.15,0.9441083825100313,0.8920218027557921,0.25127213289489614,-0.16678251498113422,0.551948051948052,154,154,0
long_only,0.3,1.5,2.5,0.01,8,48,2,0.85,0.15,0.15,0.9423888229056483,0.8812850967563931,0.24139275618628786,-0.16821125950861668,0.460431654676259,139,139,0
long_only,0.6,1.5,2.0,0.015,8,24,2,0.8,0.2,0.2,0.941073349691457,0.904663552024105,0.26031408038285586,-0.1540685273733377,0.48314606741573035,178,178,0
long_only,0.6,2.0,3.0,0.015,8,48,2,0.8,0.2,0.2,0.9401697291310512,0.8638192658601778,0.30744564406226993,-0.20723089451757434,0.5317460317460317,126,126,0
long_only,0.3,1.5,2.0,0.015,8,24,2,0.8,0.2,0.2,0.9352552344997996,0.8992004407039501,0.2580778160092101,-0.15867227339436218,0.47191011235955055,178,178,0
