trade_direction,entry_atr_mult,sl_atr_mult,tp_atr_mult,min_sl,min_hold,max_hold,cooldown,long_threshold,short_threshold,signal_quantile,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short
both,0.3,1.5,3.0,0.01,8,48,2,0.9,0.1,0.1,2.139577878365653,2.076086656477636,0.9776330857468187,-0.1591834119972265,0.49707602339181284,171,75,96
both,1.0,2.0,3.0,0.015,4,48,2,0.95,0.05,0.05,2.139422019204028,2.0714344962592017,0.7948064352876436,-0.159469875122993,0.504950495049505,101,47,54
long_only,0.3,2.5,3.0,0.015,8,48,2,0.95,0.05,0.05,2.1368724786740474,2.163286416150592,0.5197085948473537,-0.11276312387328798,0.6086956521739131,46,46,0
both,1.0,1.5,2.5,0.015,8,48,2,0.95,0.05,0.05,2.1359003083147856,2.0613724724644924,0.7557977917151866,-0.10467078490428315,0.5047619047619047,105,46,59
long_only,0.3,2.5,3.0,0.015,4,48,2,0.925,0.075,0.075,2.1353019666608906,2.147317013658149,0.5734435642553743,-0.10135202321719328,0.6481481481481481,54,54,0
long_only,0.3,2.0,2.5,0.015,8,48,2,0.925,0.075,0.075,2.1312733616949697,2.140367358869423,0.5499142958038454,-0.11029025967008077,0.625,56,56,0
both,0.6,2.0,3.0,0.015,8,48,3,0.9,0.1,0.1,2.130876723655231,2.0488014952526497,0.9989626749927756,-0.14578506331693905,0.5724137931034483,145,64,81
long_only,0.6,2.0,2.5,0.015,8,48,2,0.95,0.05,0.05,2.1307975477583456,2.1581335273552456,0.48639318119017316,-0.09400492578647547,0.5652173913043478,46,46,0
long_only,0.3,2.5,3.0,0.015,8,48,3,0.95,0.05,0.05,2.130693985555787,2.158860564869452,0.5162132332951948,-0.10699975983872603,0.6222222222222222,45,45,0
both,0.6,1.5,2.5,0.015,8,48,2,0.95,0.05,0.05,2.130040851116253,2.0555149261714756,0.7552917253695624,-0.10467078490428398,0.5047619047619047,105,46,59
