entry_atr_mult,sl_atr_mult,tp_atr_mult,min_hold,max_hold,cooldown,long_threshold,short_threshold,long_signal_threshold,short_signal_threshold,score,sharpe,total_ret,maxdd,win_rate,n_trades,n_long,n_short,short_ratio
0.3,1.0,3.0,18,48,2,0.58,0.53,0.08,0.03,0.9257227993143421,0.8763400832649594,0.21525008555896874,-0.07613138303488581,0.4666666666666667,45,5,40,0.8888888888888888
0.6,1.0,2.5,18,48,3,0.6,0.53,0.1,0.03,0.9185158484013131,0.868515848401313,0.1925840814294053,-0.0761313830348866,0.4878048780487805,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.63,0.53,0.13,0.03,0.9185158484013131,0.868515848401313,0.1925840814294053,-0.0761313830348866,0.4878048780487805,41,0,41,1.0
0.6,1.0,2.5,18,48,3,0.65,0.53,0.15,0.03,0.9185158484013131,0.868515848401313,0.1925840814294053,-0.0761313830348866,0.4878048780487805,41,0,41,1.0
0.6,1.0,3.0,18,48,2,0.58,0.53,0.08,0.03,0.9162961622163992,0.8669134461670165,0.21046930522266116,-0.07613138303488694,0.4666666666666667,45,5,40,0.8888888888888888
0.9,1.0,2.5,18,48,2,0.58,0.53,0.08,0.03,0.9090892710276317,0.8595723628150713,0.20417864199597657,-0.07613138303488674,0.45652173913043476,46,5,41,0.8913043478260869
0.3,1.0,2.5,18,48,2,0.58,0.53,0.08,0.03,0.8771823096596936,0.8276654014471332,0.1983744247747321,-0.07613138303488488,0.45652173913043476,46,5,41,0.8913043478260869
0.9,1.0,2.5,18,24,3,0.58,0.53,0.08,0.03,0.8753415858932775,0.8253415858932774,0.18629313008876935,-0.07836722072201109,0.4117647058823529,51,5,46,0.9019607843137255
0.6,1.0,2.5,18,48,2,0.58,0.53,0.08,0.03,0.8702957169307018,0.8207788087181415,0.19449456961267364,-0.0761313830348862,0.45652173913043476,46,5,41,0.8913043478260869
0.3,1.0,3.0,18,48,2,0.6,0.53,0.1,0.03,0.867208313256374,0.817208313256374,0.1849707369423057,-0.07613138303488408,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,2,0.63,0.53,0.13,0.03,0.867208313256374,0.817208313256374,0.1849707369423057,-0.07613138303488408,0.475,40,0,40,1.0
0.3,1.0,3.0,18,48,2,0.65,0.53,0.15,0.03,0.867208313256374,0.817208313256374,0.1849707369423057,-0.07613138303488408,0.475,40,0,40,1.0
0.3,1.0,2.5,18,48,2,0.6,0.53,0.1,0.03,0.847429002808607,0.797429002808607,0.17677985906689497,-0.07613138303488362,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,2,0.63,0.53,0.13,0.03,0.847429002808607,0.797429002808607,0.17677985906689497,-0.07613138303488362,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,2,0.65,0.53,0.15,0.03,0.847429002808607,0.797429002808607,0.17677985906689497,-0.07613138303488362,0.4634146341463415,41,0,41,1.0
0.9,1.0,3.0,18,48,2,0.6,0.53,0.1,0.03,0.8461607105063259,0.7961607105063259,0.1781324565641238,-0.07613138303488529,0.475,40,0,40,1.0
0.9,1.0,3.0,18,48,2,0.63,0.53,0.13,0.03,0.8461607105063259,0.7961607105063259,0.1781324565641238,-0.07613138303488529,0.475,40,0,40,1.0
0.9,1.0,3.0,18,48,2,0.65,0.53,0.15,0.03,0.8461607105063259,0.7961607105063259,0.1781324565641238,-0.07613138303488529,0.475,40,0,40,1.0
0.9,1.0,3.0,18,36,3,0.58,0.53,0.08,0.03,0.846074947890177,0.7965580396776166,0.18736389773610718,-0.07613138303488735,0.43478260869565216,46,5,41,0.8913043478260869
0.9,1.0,3.5,18,48,3,0.58,0.53,0.08,0.03,0.8418869915753373,0.7926445673329131,0.19454330995183677,-0.07613138303488513,0.4772727272727273,44,5,39,0.8863636363636364
0.6,1.0,3.0,18,48,2,0.6,0.53,0.1,0.03,0.8310517739964868,0.7810517739964867,0.174487604176226,-0.07613138303488506,0.475,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.63,0.53,0.13,0.03,0.8310517739964868,0.7810517739964867,0.174487604176226,-0.07613138303488506,0.475,40,0,40,1.0
0.6,1.0,3.0,18,48,2,0.65,0.53,0.15,0.03,0.8310517739964868,0.7810517739964867,0.174487604176226,-0.07613138303488506,0.475,40,0,40,1.0
0.9,1.0,2.5,18,48,2,0.6,0.53,0.1,0.03,0.829365820040686,0.779365820040686,0.17081516236856764,-0.07613138303488495,0.4634146341463415,41,0,41,1.0
0.9,1.0,2.5,18,48,2,0.63,0.53,0.13,0.03,0.829365820040686,0.779365820040686,0.17081516236856764,-0.07613138303488495,0.4634146341463415,41,0,41,1.0
0.9,1.0,2.5,18,48,2,0.65,0.53,0.15,0.03,0.829365820040686,0.779365820040686,0.17081516236856764,-0.07613138303488495,0.4634146341463415,41,0,41,1.0
0.9,1.0,3.0,18,24,3,0.58,0.53,0.08,0.03,0.8286581986264857,0.7786581986264857,0.17454227760216545,-0.07836722072201147,0.4,50,5,45,0.9
0.6,1.0,2.5,18,48,2,0.6,0.53,0.1,0.03,0.8138389452252031,0.763838945225203,0.1671846452682575,-0.07613138303488468,0.4634146341463415,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.63,0.53,0.13,0.03,0.8138389452252031,0.763838945225203,0.1671846452682575,-0.07613138303488468,0.4634146341463415,41,0,41,1.0
0.6,1.0,2.5,18,48,2,0.65,0.53,0.15,0.03,0.8138389452252031,0.763838945225203,0.1671846452682575,-0.07613138303488468,0.4634146341463415,41,0,41,1.0
0.3,1.0,2.5,18,48,12,0.6,0.53,0.1,0.03,0.7977089561618649,0.7477089561618648,0.15651434185514557,-0.09711885150679014,0.4864864864864865,37,0,37,1.0
0.3,1.0,2.5,18,48,12,0.63,0.53,0.13,0.03,0.7977089561618649,0.7477089561618648,0.15651434185514557,-0.09711885150679014,0.4864864864864865,37,0,37,1.0
0.3,1.0,2.5,18,48,12,0.65,0.53,0.15,0.03,0.7977089561618649,0.7477089561618648,0.15651434185514557,-0.09711885150679014,0.4864864864864865,37,0,37,1.0
0.9,1.0,2.5,18,36,3,0.58,0.53,0.08,0.03,0.795621522421196,0.745976132350274,0.17166119501149302,-0.07613138303488669,0.425531914893617,47,5,42,0.8936170212765957
0.6,1.0,2.5,18,24,3,0.58,0.53,0.08,0.03,0.7917049667238335,0.7417049667238335,0.16625682721930168,-0.0779258456596403,0.4117647058823529,51,5,46,0.9019607843137255
0.3,1.0,2.5,18,24,3,0.58,0.53,0.08,0.03,0.7859669354406482,0.7359669354406482,0.16657067195573583,-0.07794317210093549,0.39215686274509803,51,5,46,0.9019607843137255
0.9,1.0,3.5,18,48,2,0.58,0.53,0.08,0.03,0.7849160864838964,0.7356736622414722,0.1789951839970405,-0.0761313830348839,0.45454545454545453,44,5,39,0.8863636363636364
0.3,1.0,2.5,18,36,12,0.6,0.53,0.1,0.03,0.7835650931700174,0.7335650931700174,0.14970261246484817,-0.09711885150678977,0.43243243243243246,37,0,37,1.0
0.3,1.0,2.5,18,36,12,0.63,0.53,0.13,0.03,0.7835650931700174,0.7335650931700174,0.14970261246484817,-0.09711885150678977,0.43243243243243246,37,0,37,1.0
0.3,1.0,2.5,18,36,12,0.65,0.53,0.15,0.03,0.7835650931700174,0.7335650931700174,0.14970261246484817,-0.09711885150678977,0.43243243243243246,37,0,37,1.0
0.9,1.0,2.5,18,48,12,0.6,0.53,0.1,0.03,0.7833711609304927,0.7333711609304927,0.1524273759728494,-0.0975790042660667,0.4864864864864865,37,0,37,1.0
0.9,1.0,2.5,18,48,12,0.63,0.53,0.13,0.03,0.7833711609304927,0.7333711609304927,0.1524273759728494,-0.0975790042660667,0.4864864864864865,37,0,37,1.0
0.9,1.0,2.5,18,48,12,0.65,0.53,0.15,0.03,0.7833711609304927,0.7333711609304927,0.1524273759728494,-0.0975790042660667,0.4864864864864865,37,0,37,1.0
0.3,1.0,3.5,18,48,2,0.58,0.53,0.08,0.03,0.7814354068111731,0.7321929825687489,0.17981065174779265,-0.07613138303488233,0.45454545454545453,44,5,39,0.8863636363636364
0.9,1.0,3.5,18,48,3,0.6,0.53,0.1,0.03,0.7755821018217982,0.7255821018217982,0.16389855752416405,-0.07613138303488323,0.48717948717948717,39,0,39,1.0
0.9,1.0,3.5,18,48,3,0.63,0.53,0.13,0.03,0.7755821018217982,0.7255821018217982,0.16389855752416405,-0.07613138303488323,0.48717948717948717,39,0,39,1.0
0.9,1.0,3.5,18,48,3,0.65,0.53,0.15,0.03,0.7755821018217982,0.7255821018217982,0.16389855752416405,-0.07613138303488323,0.48717948717948717,39,0,39,1.0
0.3,1.0,3.5,18,48,3,0.58,0.53,0.08,0.03,0.7703027992414688,0.7210603749990446,0.17696495717408767,-0.07613138303488322,0.45454545454545453,44,5,39,0.8863636363636364
0.9,2.0,3.5,6,36,6,0.6,0.54,0.1,0.04,0.768610457619681,0.718610457619681,0.09436449481554576,-0.1127413454500179,0.5,20,0,20,1.0
0.9,2.0,3.5,6,36,6,0.63,0.54,0.13,0.04,0.768610457619681,0.718610457619681,0.09436449481554576,-0.1127413454500179,0.5,20,0,20,1.0
